Name,Rank,Price,Symbol,MarketCap
Bitcoin,1,1.0,BTC,17495850.0
XRP,2,8.89390651185613e-05,XRP,3650104.054317439
Ethereum,3,0.03298622767173442,ETH,3447572.91109772
Bitcoin Cash,5,0.03558249213409073,BCH,625355.9121564669
EOS,4,0.0006796405375101535,EOS,698891.7052497881
Tether,6,0.00028032610522394995,USDT,576735.0084474538
Litecoin,8,0.008799219941040434,LTC,529154.5113225611
Stellar,7,2.8620705264262806e-05,XLM,547684.5387145401
TRON,9,7.342935365855092e-06,TRX,481100.25497294957
Cardano,10,1.2110529814989641e-05,ADA,376494.4155808531
IOTA,11,8.505572735720245e-05,MIOTA,236304.1420755528
Monero,12,0.0126696970504191,XMR,212118.03614368587
Dash,13,0.019665489447253832,DASH,168869.1612872183
NEM,14,1.562818527598134e-05,XEM,140653.66746820387
NEO,15,0.002126503996257437,NEO,138208.30478220264
Ethereum Classic,16,0.0011971137381068865,ETC,128728.69391271504
USD Coin,18,0.0002793184046606365,USDC,96702.34612581338
Maker,19,0.1260092736436571,MKR,91763.5539438199
Zcash,21,0.0145357014295557,ZEC,83300.85883558392
Waves,22,0.0007686849595142168,WAVES,76866.67294282858
Tezos,20,0.00011688453223435654,XTZ,91384.39025653806
Dogecoin,24,5.747087907709428e-07,DOGE,67784.49315388157
VeChain,23,1.26072272252593e-06,VET,69913.04423400943
Ontology,17,0.00016862867074796383,ONT,100806.89929217623
Bitcoin Gold,26,0.0030999271165805396,BTG,54291.90451769882
Qtum,30,0.0005762454129849814,QTUM,46736.50846717058
Zilliqa,25,6.375965580980759e-06,ZIL,60181.77925877976
OmiseGo,28,0.0003606705642293102,OMG,50582.386827224174
0x,29,8.006851513048259e-05,ZRX,46767.073343681805
ChainLink,27,0.00014887010880740328,LINK,54249.69218600024
Decred,33,0.004809596144192836,DCR,44222.71172091742
Basic Attention Token,34,3.418665462183434e-05,BAT,42047.84470969566
Augur,31,0.004239120370068859,REP,46630.32407075745
Lisk,32,0.0003464236141982778,LSK,44737.88930906528
Nano,37,0.00024808762266929554,NANO,33015.202190284894
Bitcoin Diamond,35,0.00021914674231539988,BCD,41176.8561108604
Revain,45,6.125886462112715e-05,R,17294.599351857927
ICON,39,6.41919463919149e-05,ICX,30372.148696347504
DigiByte,38,2.6970129691915088e-06,DGB,30589.321876484017
Steem,36,0.00011310611387476187,STEEM,33366.93632393287
BitShares,40,1.0945745546467538e-05,BTS,29390.21777301488
Verge,41,1.8629913614169228e-06,XVG,29114.71193131713
Aeternity,44,0.00011654787648386096,AE,26516.849664081168
Stratis,43,0.0002807838393079062,STRAT,27878.193756022527
Siacoin,42,7.202458962655195e-07,SC,28122.37995185692
