Name,Rank,Price,Symbol,MarketCap
Bitcoin,1,1.0,BTC,17497687.0
XRP,2,8.8661233990972e-05,XRP,3638089.859138225
Ethereum,3,0.03276909733400739,ETH,3425396.986188697
Bitcoin Cash,5,0.03698853513764077,BCH,650106.7981855022
EOS,4,0.0006795415603157915,EOS,698685.4543730062
Tether,6,0.0002817350570134172,USDT,580125.677090388
Litecoin,8,0.008917741305090402,LTC,536415.0716020518
Stellar,7,2.8461626260822197e-05,XLM,544443.6055762402
TRON,9,7.395431683017147e-06,TRX,483468.4900012897
Cardano,10,1.199725951388507e-05,ADA,373264.5524198267
