Name,Rank,Price,Symbol
Bitcoin,1,19140.7558594,BTC
Ethereum,2,719.975158691,ETH
Bitcoin Cash,3,1862.87573242,BCH
XRP,4,0.72836625576,XRP
Litecoin,5,318.719268799,LTC
Cardano,6,0.513011157513,ADA
IOTA,7,3.9291472435,MIOTA
Dash,8,1105.92016602,DASH
NEM,9,0.687826633453,XEM
Monero,10,351.372619629,XMR
Bitcoin Gold,11,300.485229492,BTG
Stellar,12,0.266620516777,XLM
EOS,13,8.22217273712,EOS
NEO,14,68.1143875122,NEO
Ethereum Classic,15,34.7866287231,ETC
TRON,16,0.0361901707947,TRX
Qtum,17,29.622341156,QTUM
BitConnect,18,427.710296631,BCC
Populous,19,42.4841346741,PPT
OmiseGO,20,15.6224136353,OMG
Lisk,21,13.4250087738,LSK
Zcash,22,537.182861328,ZEC
Waves,23,13.5358848572,WAVES
Tether,24,1.00923967361,USDT
Stratis,25,11.2551755905,STRAT
BitShares,26,0.378112018108,BTS
Ardor,27,0.967057645321,ARDR
HyperCash,28,21.3291721344,HC
Bytecoin,29,0.00453938823193,BCN
Nxt,30,0.824313402176,NXT
MonaCoin,31,13.670917511,MONA
Verge,32,0.0521388277411,XVG
Dogecoin,33,0.00598381366581,DOGE
Ark,34,5.98836708069,ARK
Status,35,0.165481820703,SNT
Binance Coin,36,5.75671768188,BNB
Steem,37,2.31327986717,STEEM
Veritaseum,38,276.108612061,VERI
Decred,39,85.4581604004,DCR
Einsteinium,40,2.40237402916,EMC2
Siacoin,41,0.0164128374308,SC
SALT,42,9.96251392365,SALT
Komodo,43,4.74408054352,KMD
Augur,44,42.9261894226,REP
PIVX,45,7.39050006866,PIVX
Golem,46,0.478623092175,GNT
TenX,47,3.73032569885,PAY
Byteball Bytes,48,571.16217041,GBYTE
Electroneum,49,0.0713513121009,ETN
Vertcoin,50,8.36302566528,VTC
Vechain [Token],51,1.24952769279,VEN
QASH,52,0.982093513012,QASH
DigiByte,53,0.0356643274426,DGB
Factom,54,38.5929527283,FCT
DigixDAO,55,167.133102417,DGD
Basic Attention Token,56,0.311358183622,BAT
Kyber Network,57,2.28483819962,KNC
MaidSafeCoin,58,0.662779688835,MAID
Gas,59,34.7112312317,GAS
Aeternity,60,1.27897369862,AE
Ink,61,0.624378800392,INK
Nano,62,2.09161949158,NANO
Bytom,63,0.282198488712,BTM
Power Ledger,64,0.775526046753,POWR
Syscoin,65,0.502424180508,SYS
Santiment Network Token,66,4.36662864685,SAN
Waltonchain,67,10.3583831787,WTC
Decentraland,68,0.105228856206,MANA
BitcoinDark,69,184.282669067,BTCD
Iconomi,70,2.33811974525,ICN
0x,71,0.463768780231,ZRX
Cryptonex,72,5.14573812485,CNX
Zcoin,73,62.5320625305,XZC
Raiden Network Token,74,4.41494607925,RDN
Gnosis,75,191.592910767,GNO
Bitcore,76,19.4316806793,BTX
GXChain,77,5.01826715469,GXS
Nexus,78,3.71618628502,NXS
FunFair,79,0.0467568188906,FUN
PayPie,80,2.29984545708,PPP
Streamr DATAcoin,81,0.278395980597,DATA
Crypto.com,82,15.937212944,MCO
Request Network,83,0.28316321969,REQ
GameCredits,84,2.73650717735,GAME
Dragonchain,85,0.735265672207,DRGN
Dent,86,0.0152594605461,DENT
Metal,87,8.16768932343,MTL
NavCoin,88,2.52711701393,NAV
Civic,89,0.457390338182,CVC
Metaverse ETP,90,4.00988292694,ETP
Chainlink,91,0.417596042156,LINK
Pura,92,0.842350065708,PURA
Peercoin,93,5.6943526268,PPC
Substratum,94,0.615615546703,SUB
Edgeless,95,1.68226337433,EDG
Storj,96,1.28054404259,STORJ
Blocknet,97,26.7072181702,BLOCK
Revain,98,0.713544785976,R
BitBay,99,0.12839832902,BAY
Cobinhood,100,0.486543387175,COB
Ethos,101,1.61576545238,ETHOS
Quantstamp,102,0.195626571774,QSP
Bancor,103,3.99802947044,BNT
Time New Bank,104,0.10507813096,TNB
Skycoin,105,17.8944358826,SKY
Ripio Credit Network,106,0.230131149292,RCN
RChain,107,0.609511137009,RHOC
Aion,108,2.0438952446,AION
Loopring,109,0.372853666544,LRC
Ubiq,110,2.62055134773,UBQ
Horizen,111,35.1058235168,ZEN
SONM,112,0.273104578257,SNM
Tael,113,2.14846634865,WABI
AdEx,114,1.60643053055,ADX
ATMChain,115,0.0251193232834,ATM
Achain,116,0.318701982498,ACT
MinexCoin,117,31.6408615112,MNX
Kin,118,0.000124807978864,KIN
Groestlcoin,119,1.34314680099,GRS
Asch,120,0.984544694424,XAS
Aragon,121,2.67704176903,ANT
Counterparty,122,32.4279785156,XCP
SingularDTV,123,0.140065222979,SNGLS
SmartCash,124,0.177806302905,SMART
Quantum Resistant Ledger,125,1.60163366795,QRL
Wings,126,0.916827201843,WINGS
ReddCoin,127,0.00286464765668,RDD
Enjin Coin,128,0.108679890633,ENJ
Particl,129,10.4991168976,PART
YOYOW,130,0.380142480135,YOYOW
Feathercoin,131,0.418464183807,FTC
Jinn,132,1318.29248047,JINN
PotCoin,133,0.347832679749,POT
Po.et,134,0.0337726026773,POE
Lykke,135,0.277950912714,LKK
Pepe Cash,136,0.104158967733,PEPECASH
RevolutionVR,137,0.342545360327,RVR
Viacoin,138,3.10734963417,VIA
Rise,139,0.612256586552,RISE
iExec RLC,140,0.871662855148,RLC
Mercury,141,0.683660745621,MER
KuCoin Shares,142,0.747722804546,KCS
Enigma,143,0.899174511433,ENG
DigitalNote,144,0.00971488188952,XDN
Namecoin,145,4.45937204361,NMC
Humaniq,146,0.399263501167,HMQ
MobileGo,147,0.663262486458,MGO
ETHLend,148,0.0661485120654,LEND
Agoras Tokens,149,1.4757655859,AGRS
Eidoo,150,2.93616080284,EDO
Ambrosus,151,0.425464063883,AMB
Blox,152,0.109336972237,CDT
Cofound.it,153,0.186306655407,CFI
Tierion,154,0.138110727072,TNT
Aeon,155,3.93817305565,AEON
Hiveterminal Token,156,0.153639346361,HVN
FairCoin,157,1.07705414295,FAIR
CloakCoin,158,11.3176622391,CLOAK
XTRABYTES,159,0.132982671261,XBY
Red Pulse Phoenix,160,0.105080030859,PHX
Centra,161,0.831196844578,CTR
Emercoin,162,1.36897957325,EMC
LBRY Credits,163,0.469066500664,LBC
Safe Exchange Coin,164,0.0253785867244,SAFEX
WhiteCoin,165,0.218836113811,XWC
Cindicator,166,0.0371453724802,CND
FirstBlood,167,0.621235191822,1ST
Delphy,168,1.87329053879,DPY
Neblio,169,4.09341096878,NEBL
district0x,170,0.0860668495297,DNT
Paypex,171,0.755082786083,PAYX
Pillar,172,0.225604891777,PLR
Matchpool,173,0.683275341988,GUP
BLOCKv,174,0.037968955934,VEE
Melon,175,83.0106964111,MLN
Burst,176,0.0273344181478,BURST
Blocktix,177,1.22658848763,TIX
ION,178,2.65130448341,ION
Crown,179,2.94929361343,CRW
Open Trading Network,180,10.3119869232,OTN
Gulden,181,0.131894186139,NLG
AirSwap,182,0.314882576466,AST
Zeusshield,183,0.0406291671097,ZSC
SIBCoin,184,2.81576633453,SIB
I/O Coin,185,2.7361843586,IOC
Modum,186,2.45749092102,MOD
Diamond,187,17.3179550171,DMD
Steem Dollars,188,11.2912902832,SBD
TaaS,189,5.38428115845,TAAS
Etherparty,190,0.0894926860929,FUEL
Wagerr,191,0.236738428473,WGR
BridgeCoin,192,1.59016227722,BCO
Russian Miner Coin,193,28264.359375,RMC
OKCash,194,0.57177644968,OK
WeTrust,195,0.441177219152,TRST
DECENT,196,0.789880990982,DCT
SpankChain,197,0.132014006376,SPANK
Shift,198,3.3395087719,SHIFT
Omni,199,66.7616958618,OMNI
Moeda Loyalty Points,200,1.88668239117,MDA
BlackCoin,201,0.471927165985,BLK
XEL,202,0.409521609545,XEL
NoLimitCoin,203,0.174920469522,NLC2
Bodhi,204,0.888601481915,BOT
Grid+,205,0.865072488785,GRID
SaluS,206,33.4771995544,SLS
Numeraire,207,26.0646400452,NMR
GridCoin,208,0.0848768427968,GRC
MonetaryUnit,209,0.271793544292,MUE
Triggers,210,1.01188266277,TRIG
HyperSpace,211,0.394343733788,AMP
FirstCoin,212,17.2182826996,FRST
Viberate,213,0.199433788657,VIB
bitCNY,214,0.144147008657,BITCNY
Phore,215,3.24163627625,PHR
Credo,216,0.056815482676,CREDO
HempCoin,217,0.133518919349,THC
Stox,218,0.719780027866,STX
Golos,219,0.241942852736,GOLOS
FLO,220,0.21281477809,FLO
Agrello,221,0.345276921988,DLT
Presearch,222,0.190766245127,PRE
BitDice,223,0.420565128326,CSNO
Monetha,224,0.135147333145,MTH
Dentacoin,225,8.93672040547e-05,DCN
VeriCoin,226,0.94411367178,VRC
IXT,227,0.804363191128,IXT
OracleChain,228,0.934123873711,OCT
Clams,229,10.0922327042,CLAM
Genesis Vision,230,7.34766769409,GVT
bitqy,231,0.00998567324132,BQ
Rubycoin,232,1.0719922781,RBY
Gambit,233,22.4283180237,GAM
Everex,234,1.60761427879,EVX
Radium,235,7.70983886719,RADS
BCAP,236,2.62501907349,BCAP
Global Currency Reserve,237,0.252579689026,GCR
OBITS,238,1.63823950291,OBITS
BitSend,239,1.47116780281,BSD
NeosCoin,240,7.09151124954,NEOS
Aventus,241,4.25641298294,AVT
Pascal Coin,242,1.58239006996,PASC
Experience Points,243,0.000134273504955,XP
Paragon,244,0.391309708357,PRG
Waves Community Token,245,2.54119753838,WCT
Unikoin Gold,246,0.18763114512,UKG
ATBCoin,247,0.621068418026,ATB
Exchange Union,248,12.2423830032,XUC
Databits,249,1.05595731735,DTB
LEOcoin,250,0.252756655216,LEO
Nimiq Exchange Token,251,2.27339482307,NET
Mooncoin,252,0.000106235769636,MOON
Spectrecoin,253,1.13519799709,XSPEC
adToken,254,0.0389362685382,ADT
HEAT,255,0.754963457584,HEAT
Patientory,256,0.333366245031,PTOY
Expanse,257,2.93115758896,EXP
Primas,258,0.451592415571,PST
TransferCoin,259,3.64082860947,TX
ICOS,260,38.7778015137,ICOS
SunContract,261,0.202572494745,SNC
EncryptoTel [WAVES],262,0.350773304701,ETT
TokenCard,263,0.917204618454,TKN
BlockMason Credit Protocol,264,0.311143547297,BCPT
Xaurum,265,0.168709561229,XAUR
Soarcoin,266,0.0299650989473,SOAR
The ChampCoin,267,0.129131868482,TCC
KickCoin,268,0.0656613335013,KICK
SolarCoin,269,0.540422379971,SLR
Mysterium,270,1.05266904831,MYST
Target Coin,271,0.0213256813586,TGT
Etheroll,272,2.88299369812,DICE
Unobtanium,273,101.610496521,UNO
Swarm City,274,2.51589822769,SWT
Rialto,275,0.226238280535,XRL
DomRaider,276,0.0323413945735,DRT
Incent,277,0.413239359856,INCNT
Mothership,278,0.13479411602,MSP
Rivetz,279,0.713528633118,RVT
Dimecoin,280,3.46843698935e-05,DIME
ALIS,281,0.479836046696,ALIS
Vcash,282,1.19880926609,XVC
Boolberry,283,1.71667194366,BBR
NVO,284,1.22532260418,NVST
LoMoCoin,285,0.0827879086137,LMC
FoldingCoin,286,0.0324164070189,FLDC
Bitmark,287,2.35279417038,BTM
Bean Cash,288,0.0076313065365,BITB
DeepOnion,289,3.78084015846,ONION
Polybius,290,4.51535606384,PLBT
Sphere,291,5.47866296768,SPHR
Energycoin,292,0.137905970216,ENRG
Nexium,293,0.249115303159,NXC
Maecenas,294,0.546667039394,ART
Bitdeal,295,0.093066111207,BDL
Lunyr,296,7.10881280899,LUN
PinkCoin,297,0.0435530468822,PINK
EncrypGen,298,0.422277748585,DNA
Circuits of Value,299,0.0162130128592,COVAL
Peerplays,300,4.23445749283,PPY
Novacoin,301,8.34888744354,NVC
Oxycoin [OLD],302,0.190225690603,OXY[OLD]
Memetic / PepeCoin,303,0.85902518034,MEME
bitUSD,304,0.986875712872,BITUSD
Quantum,305,0.199614480138,QAU
Masternodecoin,306,0.324260264635,MTNC
Musicoin,307,0.0297463871539,MUSIC
ClearPoll,308,2.11481451988,POLL
Curecoin,309,0.62043017149,CURE
OAX,310,0.58518242836,OAX
Sequence,311,0.322162091732,SEQ
Bitzeny,312,0.192428380251,ZNY
PoSW Coin,313,0.327552318573,POSW
ECC,314,0.000572223972995,ECC
Breakout,315,0.786608457565,BRK
EarthCoin,316,0.00122988165822,EAC
Obsidian,317,0.567316532135,ODN
BitCrystals,318,0.611493647099,BCY
Chronobank,319,19.9350185394,TIME
Sexcoin,320,0.112316936255,SXC
NuShares,321,0.00495857140049,NSR
Blackmoon,322,0.45335739851,BMC
CVCoin,323,1.3690110445,CVN
Tao,324,0.412001252174,XTO
Astro,325,4.04541254044,ASTRO
AirToken,326,0.0127325747162,AIR
Myriad,327,0.00858969148248,XMY
LATOKEN,328,0.286431372166,LA
Auroracoin,329,1.49838614464,AUR
Blue Protocol,330,0.381831288338,BLUE
COSS,331,0.213871747255,COSS
FedoraCoin,332,2.81819466181e-05,TIPS
Stealth,333,0.444444835186,XST
Bitcoin Plus,334,117.926628113,XBC
ToaCoin,335,0.00915185082704,TOA
Bitcloud,336,0.743853390217,BTDX
MarteXcoin,337,4.20592403412,MXT
PRIZM,338,0.98316848278,PZM
Change,339,0.314852327108,CAG
Decision Token,340,0.362644165754,HST
Internet of People,341,6.22617816925,IOP
DAO.Casino,342,0.0665450692177,BET
eBitcoin,343,0.580218434334,EBTC
Pesetacoin,344,0.0820988565683,PTC
E-Dinar Coin,345,0.0121510010213,EDR
Zephyr,346,0.0848276466131,ZEPH
Lampix,347,0.0937407538295,PIX
MCAP,348,1.01000785828,MCAP
ArtByte,349,0.013348761946,ABY
Dynamic,350,5.51032590866,DYN
BlockCAT,351,1.41055572033,CAT
DecentBet,352,0.138248443604,DBET
Kore,353,5.07600831985,KORE
DCORP,354,1.26365590096,DRP
B2BX,355,0.627232193947,B2B
Voise,356,0.0153018310666,VOISE
Syndicate,357,0.590152919292,SYNX
Propy,358,0.689787626266,PRO
VIBE,359,0.0546690635383,VIBE
APX,360,13.3267145157,APX
DubaiCoin,361,5.51889228821,DBIX
MintCoin,362,0.000374817725969,MINT
Riecoin,363,0.232206285,RIC
Aeron,364,0.774202942848,ARN
SHIELD,365,0.0195559952408,XSH
Dovu,366,0.144234955311,DOV
Primecoin,367,0.411654859781,XPM
DopeCoin,368,0.0801943987608,DOPE
InvestFeed,369,0.0462274476886,IFT
Bonpay,370,0.778614342213,BON
MyBit,371,3.34712266922,MYB
vSlice,372,0.261039316654,VSL
Qwark,373,0.200238019228,QWARK
Bismuth,374,1.37333750725,BIS
Primalbase Token,375,8578.46777344,PBT
BlueCoin,376,0.0148744666949,BLU
Bela,377,0.215970113873,BELA
Ethereum Movie Venture,378,1.26449680328,EMV
HelloGold,379,0.0314188674092,HGT
Xenon,380,0.0271357558668,XNN
ExclusiveCoin,381,1.8325009346,EXCL
Atmos,382,0.0797676667571,ATMOS
EuropeCoin,383,0.79672652483,ERC
PutinCoin,384,0.0249889716506,PUT
Bitswift,385,1.93354475498,BITS
HTML5COIN,386,0.000190741324332,HTML5
2GIVE,387,0.0148807084188,2GIVE
Neutron,388,0.235553339124,NTRN
Breakout Stake,389,1.22987794876,BRX
ZClassic,390,4.2431769371,ZCL
Synergy,391,2.34276676178,SNRG
Pluton,392,8.92308616638,PLU
Yocoin,393,0.0694112628698,YOC
Elixir,394,0.282844215631,ELIX
Global Cryptocurrency,395,0.0146870817989,GCC
TrustPlus,396,0.228698849678,TRUST
GoldCoin,397,0.18013189733,GLD
Project Decorum,398,0.145535632968,PDC
NewYorkCoin,399,5.42011730431e-05,NYC
Sharechain,400,0.00427691964433,SSS
