Name,Rank,Price,Symbol
Bitcoin,1,602.715393066,BTC
Litecoin,2,8.95786190033,LTC
Nxt,3,0.0572504997253,NXT
Dash,4,9.23079395294,DASH
XRP,5,0.00401289528236,XRP
Peercoin,6,1.42453837395,PPC
Dogecoin,7,0.000270505319349,DOGE
Namecoin,8,1.6673002243,NMC
BlackCoin,9,0.128808632493,BLK
Bytecoin,10,5.42054658581e-05,BCN
Omni,11,13.3748636246,OMNI
BitShares PTS,12,4.27343273163,PTS
VeriCoin,13,0.261400729418,VRC
MaidSafeCoin,14,0.0154124209657,MAID
Counterparty,15,1.85081386566,XCP
Monero,16,2.54425406456,XMR
XCurrency,17,0.778024971485,XC
Zetacoin,18,0.0242597162724,ZET
Quark,19,0.0143704749644,QRK
Neutrino,20,0.0162074193358,NTR
Vertcoin,21,0.433183997869,VTC
Qora,22,0.000238984968746,QORA
Primecoin,23,0.360658109188,XPM
Feathercoin,24,0.0421388968825,FTC
Startcoin,25,0.0416779816151,START
PotCoin,26,0.0138253150508,POT
YbCoin,27,0.993217647076,YBC
Infinitecoin,28,1.73884327523e-05,IFC
CloakCoin,29,0.324292421341,CLOAK
Karmacoin,30,2.36487558141e-05,KARMA
Razor,31,0.932034194469,RZR
WorldCoin,32,0.0229318048805,WDC
Megacoin,33,0.0556699968874,MEC
Novacoin,34,1.50592267513,NVC
NEMstake,35,1433.71459961,NEM
ReddCoin,36,4.06289691455e-05,RDD
Ixcoin,37,0.0458312518895,IXC
Anoncoin,38,0.765412628651,ANC
CryptCoin,39,0.272935032845,CRYPT
Billioncoin,40,8.85039844434e-05,BIL
Maxcoin,41,0.0304027348757,MAX
SuperCoin,42,0.0470823608339,SUPER
MintCoin,43,3.54882395186e-05,MINT
JackpotCoin,44,0.000180633403943,JPC
Cinni,45,0.0445471033454,CINNI
TEKcoin,46,0.460746467113,TEK
Guerillacoin,47,0.120450563729,GUE
USDe,48,0.00063866272103,USDE
Mineralscoin,49,0.0178404338658,MIN
VootCoin,50,0.00692625390366,VOOT
NautilusCoin,51,0.116953097284,NAUT
FuelCoin,52,0.00010238809773,FC2
Boolberry,53,0.789622306824,BBR
Nas,54,4.21598051616e-05,NAS
Unobtanium,55,2.16974520683,UNO
WankCoin,56,0.173454448581,WKC
BoostCoin,57,0.0324424430728,BOST
HoboNickels,58,0.0751468464732,HBN
Gridcoin Classic,59,0.01445464883,GRCX
NoirShares,60,0.140026837587,NRS
Myriad,61,0.000900488346815,XMY
Freicoin,62,0.00703715998679,FRC
Tickets,63,4.68897678729e-06,TIX
BurnerCoin,64,0.142620608211,BURN
DigiByte,65,0.000223004652071,DGB
FlutterCoin,66,0.00133608467877,FLT
Bullion,67,0.265731602907,CBX
WhiteCoin,68,0.000770001614001,XWC
AsiaCoin,69,0.0012892523082,AC
UltraCoin,70,0.0137737039477,UTC
Applecoin,71,0.0120854629204,APC
ZimStake,72,0.0559857226908,ZS
OctoCoin,73,0.00863691139966,888
Silkcoin,74,0.0047611775808,SILK
DNotes,75,0.00229722959921,NOTE
Bottlecaps,76,0.0466648824513,CAP
Sync,77,187.848098755,SYNC
NavCoin,78,0.00302935158834,NAV
Uro,79,0.578306078911,URO
Sexcoin,80,0.00209582713433,SXC
Gulden,81,0.000603756809141,NLG
MastCoin,82,0.0590320043266,MAST
NobleCoin,83,9.63255952229e-05,NOBL
Talkcoin,84,0.0264388490468,TAC
Coin2.1,85,0.00126479414757,C2
FedoraCoin,86,4.58421737903e-07,TIPS
CasinoCoin,87,0.00543861510232,CSC
Fractalcoin,88,0.301876246929,FRAC
SecureCoin,89,0.0565086603165,SRC
Riecoin,90,0.0278233643621,RIC
Particle,91,0.000150692489115,PRT
CAIx,92,0.060903839767,CAIx
PinkCoin,93,0.000265004491666,PINK
Rubycoin,94,0.0046770866029,RBY
Execoin,95,0.00740686990321,EXE
MammothCoin,96,0.0180684886873,MAMM
Libertycoin,97,0.00539991026744,XLB
VeniVidiVici,98,0.0330111272633,VVV
Diamond,99,0.17425853014,DMD
Bitcoin Plus,100,1.43355381489,XBC
Heavycoin,101,0.00130789238028,HVC
CleanWaterCoin,102,0.00015057073324,WATER
QuazarCoin,103,0.242058813572,QCN
DigitalNote,104,1.92989336938e-05,XDN
Franko,105,0.197849944234,FRK
TeslaCoin,106,0.000970385270193,TES
StabilityShares,107,0.00796460639685,XSI
Energycoin,108,0.000499894842505,ENRG
Zedcoin,109,0.00402613868937,ZED
SaffronCoin,110,0.00397506728768,SFR
LeagueCoin,111,0.016381084919,LOL
Bytecoin,112,0.013985009864,BTE
Glyph,113,0.0225450620055,GLYPH
GoldReserve,114,0.00271629611962,XGR
Monocle,115,0.0259143263102,MON
Digit,116,0.00119854300283,DIG
CoolCoin,117,0.000222844682867,COOL
BlueChip,118,0.00391483912244,BCH
CRTCoin,119,0.466145008802,CRT
OpenSourcecoin,120,0.00422200327739,OSC
Kore,121,0.0150932101533,KORE
UnbreakableCoin,122,0.0120456591249,UNB
Techcoin,123,0.0940176770091,TECH
Mjollnircoin,124,0.00704671023414,MNR
Global Denomination,125,0.00422200327739,GDN
Veilcoin,126,0.0367513038218,VEIL
Denarius,127,0.0100000062957,DRS
VirtualMiningCoin,128,0.000198740031919,VMC
BitSend,129,0.0016743466258,BSD
CryptoMETH,130,0.000566149596125,METH
ProsperCoin,131,0.0017719832249,PRC
Auroracoin,132,0.149085447192,AUR
Marinecoin,133,0.124072514474,MTC
Devcoin,134,9.07528446987e-05,DVC
NewYorkCoin,135,6.02282943873e-06,NYC
EduCoin,136,6.02715408604e-06,EDU
GoldCoin,137,0.0119610121474,GLD
Pandacoin,138,1.07762352854e-05,PND
Bitleu,139,0.000122078941786,BTL
Terracoin,140,0.0421999618411,TRC
Chancecoin,141,0.500436902046,CHA
Digitalcoin,142,0.0146965151653,DGC
Pesetacoin,143,0.00569566059858,PTC
Scotcoin,144,0.000222844682867,SCOT
NetCoin,145,0.00069289986277,NET
Copperlark,146,0.0205679628998,CLR
I0Coin,147,0.00868598464876,I0C
CommunityCoin,148,0.000151861575432,COMM
HunterCoin,149,0.0541358962655,HUC
Saturncoin,150,1.80814622581e-05,SAT
Diem,151,6.02282943873e-06,DIEM
Mincoin,152,0.0723402053118,MNC
BBQCoin,153,0.00317715364508,BQC
Curecoin,154,0.0782975032926,CURE
UnionCoin,155,0.0124077415094,UNC
CacheCoin,156,0.305209040642,CACH
TagCoin,157,0.0628444030881,TAG
Extremecoin,158,0.0284108296037,EXC
BitBar,159,7.91968011856,BTB
Einsteinium,160,0.000806971103884,EMC2
LeafCoin,161,6.02282943873e-06,LEAF
Kittehcoin,162,7.5601988101e-06,MEOW
LottoCoin,163,6.02282943873e-06,LOT
OrangeCoin,164,0.00163820956368,OC
Yacoin,165,0.00332288793288,YAC
RedCoin,166,0.00177253456786,RED
AimCoin,167,0.00267127971165,AIM
Aiden,168,0.00687595037743,ADN
Groestlcoin,169,0.00157735962421,GRS
EarthCoin,170,2.10033867916e-05,EAC
Memorycoin,171,0.0109790777788,MMC
Hyper,172,0.0240792725235,HYPER
Kryptkoin,173,0.00407404638827,KTK
SHACoin,174,0.000186707708053,SHA
Colossuscoin,175,2.01326287197e-07,COL
Philosopher Stones,176,0.0303851738572,PHS
Mooncoin,177,5.00609019127e-07,MOON
MAZA,178,0.00012657023035,MAZA
Orbitcoin,179,0.0376547314227,ORB
SpainCoin,180,0.00182020047214,SPA
Fastcoin,181,0.000653324008454,FST
Motocoin,182,0.0228807292879,MOTO
Deutsche eMark,183,0.00569759681821,DEM
e-Gulden,184,0.00393282435834,EFL
Bitcoin Scrypt,185,0.00827528256923,BTCS
Piggycoin,186,0.000103573423985,PIGGY
Quebecoin,187,0.00217424146831,QBC
FairCoin,188,0.00093420885969,FAIR
ShopCoin,189,0.180684879422,SHOP
Pawncoin,190,0.00602715369314,PAWN
Zeitcoin,191,1.62532478498e-06,ZEIT
microCoin,192,1.52160112066e-06,MRC
ArtByte,193,0.00015057073324,ABY
Noirbits,194,0.0183274708688,NRB
Dimecoin,195,1.83732808523e-07,DIME
FLO,196,0.000692756846547,FLO
Murraycoin,197,0.00159002700821,MRY
SolarCoin,198,0.00171962229069,SLR
Blakecoin,199,0.0120709948242,BLC
PetroDollar,200,0.000831150449812,XPD
Luckycoin,201,0.0021381045226,LKY
SiliconValleyCoin [old],202,0.00191663496662,XSV
ECC,203,1.97689496417e-06,ECC
Dreamcoin,204,0.0187480784953,DRM
Datacoin,205,0.0191016625613,DTC
42-coin,206,3616.29223633,42
Guncoin,207,0.00052398617845,GUN
KlondikeCoin,208,0.0040570278652,KDC
HarmonyCoin,209,0.00845605228096,HMY
Hirocoin,210,0.000445401383331,HIRO
BlueCoin,211,7.7690310718e-05,BLU
LegendaryCoin,212,0.00776634085923,LGD
Isracoin,213,0.00838623475283,ISR
Elacoin,214,0.0743337646127,ELC
ContinuumCoin,215,4.48154253263e-07,CTM
BlazeCoin,216,0.000433643726865,BLZ
Dirac,217,0.169192865491,XDQ
EmotiCoin,218,5.37471748885e-07,EMO
Distrocoin,219,0.00211248151027,DIS
Aricoin,220,0.000331493472913,ARI
SaveCoin,221,0.0240913182497,SPC
BadgerCoin,222,0.0042159804143,BDG
AsicCoin,223,4.91177088406e-05,ASC
Fantomcoin,224,0.077452480793,FCN
YellowCoin,225,0.000596505124122,YC
EBTCoin,226,0.000156705995323,EBT
Bitstar,227,0.00156593567226,BITS
GlobalCoin,228,0.000487849174533,GLC
BetaCoin,229,0.0016743466258,BET
CannaCoin,230,0.0131047619507,CCN
Animecoin,231,1.20200638776e-05,ANI
Phoenixcoin,232,0.00127352029085,PXC
OPECCoin,233,0.00120456586592,OPC
Junkcoin,234,0.00177451164927,JKC
Bitgem,235,0.725154697895,BTG
BattleCoin,236,0.00183696299791,BCX
Joulecoin,237,0.00210799020715,XJO
Neocoin,238,0.00304755172692,NEC
Marscoin,239,0.00312558282167,MARS
Maieuticoin,240,8.67287445068,MMXIV
RonPaulCoin,241,0.190471976995,RPC
Logicoin,242,0.00490860594437,LGC
AIRcoin,243,0.00603318121284,AIR
Argentum,244,0.011455421336,ARG
HempCoin,245,0.000168639220647,THC
CornerstoneCoin,246,4.59537386632e-06,CCX
SmartCoin,247,0.00103592663072,SMC
StableCoin,248,0.00111449172255,SBC
Hotcoin,249,0.00300485221669,HOT
QubitCoin,250,6.02715372224e-05,Q2C
Goalcoin,251,0.0529547780752,GOAL
Teacoin,252,0.000342353188898,TEA
365Coin,253,120.456588745,365
Spots,254,0.00198151078075,SPT
Cryptographic Anomaly,255,0.301762014627,CGA
Heisenberg,256,9.87174757938e-07,HEX
LiteBar,257,0.0762128829956,LTB
RainbowCoin,258,1.20543081721e-05,LGBT
Catcoin,259,0.00813081953675,CAT
UniversityCoin,260,0.00119854300283,UVC
Hobbitcoin,261,3.0932262689e-06,HBC
DopeCoin,262,0.000191022758372,DOPE
Omnicoin,263,0.00442677969113,OMC
Cashcoin,264,0.00246936012991,CASH
Lycancoin,265,6.02282962063e-05,LYC
InformationCoin,266,0.000150476800627,ITC
CraftCoin,267,0.0173818860203,CRC
ShibeCoin,268,3.52165698132e-05,SHIBE
Benjamins,269,0.0042159804143,BEN
TopCoin,270,4.47892517741e-07,TOP
FlappyCoin,271,1.79157240154e-07,FLAP
GoodCoin,272,0.000180684888619,GOOD
GlobalBoost,273,7.97019310994e-05,BST
Donationcoin,274,0.000402363162721,DON
Grumpycoin,275,4.47893114597e-07,GRUMP
CoffeeCoin,276,8.43196103233e-05,CFC
Quarkbar,277,0.000764899363276,QB
Greencoin,278,0.000138525079819,GRE
Skeincoin,279,0.00123556656763,SKC
Electron,280,0.00801517441869,ELT
TakCoin,281,4.82172326883e-05,TAK
BankNote,282,2.68892563327e-07,BN
Nyancoin,283,8.63028180902e-05,NYAN
XXLcoin,284,1.34740938407e-08,XXL
