Name,Rank,Price,Symbol
Bitcoin,1,7720.25,BTC
Ethereum,2,618.328552246,ETH
XRP,3,0.671205341816,XRP
Bitcoin Cash,4,1170.39794922,BCH
EOS,5,14.6207666397,EOS
Litecoin,6,125.500480652,LTC
Cardano,7,0.228154480457,ADA
Stellar,8,0.302912026644,XLM
IOTA,9,1.80539727211,MIOTA
TRON,10,0.0619783513248,TRX
NEO,11,56.4156646729,NEO
Monero,12,169.355133057,XMR
Dash,13,331.192687988,DASH
Tether,14,1.00009524822,USDT
NEM,15,0.263974100351,XEM
Vechain [Token],16,4.08738994598,VEN
Binance Coin,17,14.5660495758,BNB
Ethereum Classic,18,16.2496185303,ETC
Qtum,19,14.7088699341,QTUM
OmiseGO,20,11.7781887054,OMG
Bytecoin,21,0.00640784297138,BCN
ICON,22,2.81793165207,ICX
Lisk,23,10.0142621994,LSK
Zcash,24,253.381256104,ZEC
Ontology,25,8.04012012482,ONT
Zilliqa,26,0.128450632095,ZIL
Aeternity,27,3.5284614563,AE
Bitcoin Gold,28,46.4871406555,BTG
0x,29,1.34430730343,ZRX
Decred,30,98.8455581665,DCR
Bytom,31,0.692611098289,BTM
Steem,32,2.54348063469,STEEM
Verge,33,0.0426445677876,XVG
BitShares,34,0.233452573419,BTS
Nano,35,4.24919176102,NANO
Siacoin,36,0.015825079754,SC
Golem,37,0.624820947647,GNT
RChain,38,1.42376863956,RHOC
Wanchain,39,4.78572940826,WAN
Maker,40,808.572509766,MKR
Bitcoin Private,41,24.0606937408,BTCP
Populous,42,13.1044301987,PPT
Bitcoin Diamond,43,3.08831787109,BCD
Stratis,44,4.67358636856,STRAT
Augur,45,40.3682975769,REP
Waves,46,4.38249063492,WAVES
Dogecoin,47,0.00369029655121,DOGE
IOST,48,0.0468361601233,IOST
DigiByte,49,0.0358137749135,DGB
Waltonchain,50,11.7231369019,WTC
Status,51,0.103206373751,SNT
HyperCash,52,8.1796913147,HC
Aion,53,2.29087781906,AION
Nebulas,54,7.34212064743,NAS
Mixin,55,777.120178223,XIN
WaykiChain,56,1.82449245453,WICC
Loopring,57,0.553616762161,LRC
Basic Attention Token,58,0.295789539814,BAT
KuCoin Shares,59,3.1837182045,KCS
DigixDAO,60,142.194946289,DGD
aelf,61,1.12345612049,ELF
Komodo,62,2.67848777771,KMD
Huobi Token,63,5.33497810364,HT
Ark,64,2.50607872009,ARK
Ardor,65,0.257243961096,ARDR
CyberMiles,66,0.332786023617,CMT
MaidSafeCoin,67,0.502897977829,MAID
Loom Network,68,0.377984791994,LOOM
PIVX,69,3.98568439484,PIVX
Dentacoin,70,0.000675118702929,DCN
Bancor,71,4.3226852417,BNT
GXChain,72,3.62517738342,GXS
Gas,73,21.2476196289,GAS
Elastos,74,42.3370361328,ELA
Kyber Network,75,1.55153739452,KNC
Cortex,76,1.37222862244,CTXC
Polymath,77,0.737357735634,POLY
MonaCoin,78,3.37908387184,MONA
MOAC,79,5.56770610809,MOAC
Mithril,80,0.651048839092,MITH
Cryptonex,81,4.34007740021,CNX
Syscoin,82,0.359230041504,SYS
