Name,Rank,Price,Symbol
Bitcoin,1,11323.2246094,BTC
Ethereum,2,465.853393555,ETH
Bitcoin Cash,3,1559.92663574,BCH
XRP,4,0.252557784319,XRP
Dash,5,768.876159668,DASH
Litecoin,6,101.262886047,LTC
Bitcoin Gold,7,320.663970947,BTG
IOTA,8,1.88155817986,MIOTA
Cardano,9,0.13180744648,ADA
Monero,10,200.050964355,XMR
Ethereum Classic,11,30.4575271606,ETC
NEM,12,0.275914877653,XEM
NEO,13,36.6229743958,NEO
EOS,14,3.60669612885,EOS
Stellar,15,0.0890353322029,XLM
BitConnect,16,311.991363525,BCC
Qtum,17,13.1470079422,QTUM
OmiseGO,18,9.42740917206,OMG
Lisk,19,7.73911094666,LSK
Zcash,20,322.809967041,ZEC
Tether,21,1.00066375732,USDT
HyperCash,22,18.1349315643,HC
Waves,23,6.19872379303,WAVES
Stratis,24,6.1239233017,STRAT
Populous,25,12.9982633591,PPT
Ardor,26,0.474226176739,ARDR
Nxt,27,0.428741455078,NXT
MonaCoin,28,7.32171583176,MONA
Ark,29,4.03644323349,ARK
Augur,30,35.4600906372,REP
BitShares,31,0.144446238875,BTS
Bytecoin,32,0.00199519004673,BCN
Decred,33,53.7400550842,DCR
Vertcoin,34,7.69648981094,VTC
Steem,35,1.22163021564,STEEM
PIVX,36,5.33681726456,PIVX
Komodo,37,2.8167245388,KMD
SALT,38,5.55563592911,SALT
Siacoin,39,0.0085565270856,SC
Golem,40,0.31576743722,GNT
Bitcore,41,24.5229415894,BTX
Status,42,0.0741941258311,SNT
Dogecoin,43,0.00222306349315,DOGE
TenX,44,2.37811970711,PAY
Power Ledger,45,0.708239018917,POWR
MaidSafeCoin,46,0.532823503017,MAID
Waltonchain,47,9.3991689682,WTC
Binance Coin,48,2.22724819183,BNB
DigixDAO,49,109.176803589,DGD
Veritaseum,50,101.706855774,VERI
Factom,51,23.1067943573,FCT
Einsteinium,52,0.860903739929,EMC2
Syscoin,53,0.339287906885,SYS
Raiden Network Token,54,3.57802963257,RDN
Gas,55,19.9226646423,GAS
Exchange Union,56,6.89042472839,XUC
Basic Attention Token,57,0.170243859291,BAT
BitcoinDark,58,129.886138916,BTCD
Kyber Network,59,1.1599932909,KNC
Byteball Bytes,60,239.988494873,GBYTE
Santiment Network Token,61,2.48100090027,SAN
Iconomi,62,1.49814081192,ICN
MinexCoin,63,49.3120918274,MNX
Aeternity,64,0.611476778984,AE
Cryptonex,65,3.10138225555,CNX
TRON,66,0.0021159783937,TRX
Zcoin,67,37.7091941833,XZC
GameCredits,68,2.06046533585,GAME
DigiByte,69,0.013595954515,DGB
Gnosis,70,115.72000885,GNO
Vechain [Token],71,0.444543510675,VEN
Metal,72,6.27360677719,MTL
QASH,73,0.916936516762,QASH
Bytom,74,0.119593016803,BTM
FunFair,75,0.0271357856691,FUN
GXChain,76,2.82782387733,GXS
Civic,77,0.32676705718,CVC
Ethos,78,1.45453894138,ETHOS
Blocknet,79,21.9604949951,BLOCK
